title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
SPHERE SLICE;Wii U;RCMADIAX;Jun  1, 2017;;;;;;tbd;0;0;0;0;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/sphere-slice
Coqui The Game;Wii U;Team One;Jun  1, 2017;;;;;;tbd;0;0;0;0;Alberto Roman;;;;;;;https://www.metacritic.com/game/wii-u/coqui-the-game
The Girl and the Robot;Wii U;Flying Carpets Games;May 25, 2017;;;;;;tbd;0;0;0;0;Flying Carpets Games;;;;;;;https://www.metacritic.com/game/wii-u/the-girl-and-the-robot
Block Zombies!;Wii U;Nostatic Software;May 25, 2017;;;;;;tbd;0;0;0;0;Nostatic Software;;;;;;;https://www.metacritic.com/game/wii-u/block-zombies!
Darksiders: Warmastered Edition;Wii U;Nordic Games Publishing;May 23, 2017;77;5;4;1;0;8.1;4;4;0;0;Nordic Games Publishing, Kaiko;;;;;;;https://www.metacritic.com/game/wii-u/darksiders-warmastered-edition
PINBALL;Wii U;RCMADIAX;May 18, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/pinball
World to the West;Wii U;Rainbow Studios;May  5, 2017;;;;;;tbd;;;;;Rainbow Studios, Rain Games;;;;;;;https://www.metacritic.com/game/wii-u/world-to-the-west
WinKings;Wii U;Lemondo Entertainment;May  4, 2017;;;;;;tbd;;;;;Lemondo Entertainment;;;;;;;https://www.metacritic.com/game/wii-u/winkings
Triple Breakout;Wii U;nuGAME;May  4, 2017;;;;;;tbd;;;;;nuGAME;;;;;;;https://www.metacritic.com/game/wii-u/triple-breakout
Citadale: The Legends Trilogy;Wii U;Nitrolic Games;May  4, 2017;;;;;;tbd;;;;;Nitrolic Games;;;;;;;https://www.metacritic.com/game/wii-u/citadale-the-legends-trilogy
FIFTEEN;Wii U;RCMADIAX;May  4, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/fifteen
Use Your Words;Wii U;Smiling Buddha Games, LLC;Apr 27, 2017;;;;;;tbd;2;1;1;0;Smiling Buddha Games, LLC, Smiling Buddha Games;;;;;;;https://www.metacritic.com/game/wii-u/use-your-words
Absolutely Unstoppable MineRun;Wii U;Shy Egg;Apr 27, 2017;;;;;;tbd;;;;;Shy Egg;;;;;;;https://www.metacritic.com/game/wii-u/absolutely-unstoppable-minerun
Shovel Knight: Specter of Torment;Wii U;Yacht Club Games;Apr 21, 2017;;;;;;7.6;0;0;0;0;Yacht Club Games;;;;;;;https://www.metacritic.com/game/wii-u/shovel-knight-specter-of-torment
Booty Diver;Wii U;Xavier Orion Games;Apr 20, 2017;;;;;;tbd;;;;;Xavier Orion Games;;;;;;;https://www.metacritic.com/game/wii-u/booty-diver
ORBIT;Wii U;RCMADIAX;Apr 20, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/orbit
MOP: Operation Cleanup;Wii U;EnsenaSoft;Apr 20, 2017;;;;;;tbd;;;;;EnsenaSoft;;;;;;;https://www.metacritic.com/game/wii-u/mop-operation-cleanup
Pic-a-Pix Color;Wii U;Lightwood Games;Apr 13, 2017;;;;;;tbd;;;;;Lightwood Games;;;;;;;https://www.metacritic.com/game/wii-u/pic-a-pix-color
Zombeer;Wii U;Padaone Games;Apr 13, 2017;;;;;;tbd;1;0;1;0;Padaone Games;;;;;;;https://www.metacritic.com/game/wii-u/zombeer
Animal Gods;Wii U;Still Games;Apr  6, 2017;;;;;;tbd;1;1;0;0;Still Games;;;;;;;https://www.metacritic.com/game/wii-u/animal-gods
Cube Life: Pixel Action Heroes;Wii U;Cypronia;Mar 30, 2017;;;;;;tbd;;;;;Cypronia;;;;;;;https://www.metacritic.com/game/wii-u/cube-life-pixel-action-heroes
Miko Mole;Wii U;EnsenaSoft;Mar 30, 2017;;;;;;tbd;;;;;EnsenaSoft;;;;;;;https://www.metacritic.com/game/wii-u/miko-mole
Aqua TV;Wii U;EM Studios;Mar 23, 2017;;;;;;tbd;;;;;EM Studios, Extra Miles Studio;;;;;;;https://www.metacritic.com/game/wii-u/aqua-tv
Armored ACORNs: Action Squirrel Squad;Wii U;Nexcra Software;Mar 23, 2017;;;;;;tbd;1;1;0;0;Nexcra Software;;;;;;;https://www.metacritic.com/game/wii-u/armored-acorns-action-squirrel-squad
Double Breakout II;Wii U;nuGAME;Mar 16, 2017;;;;;;tbd;;;;;nuGAME;;;;;;;https://www.metacritic.com/game/wii-u/double-breakout-ii
VRog;Wii U;ByteRockers' Games;Mar 16, 2017;;;;;;tbd;;;;;ByteRockers' Games;;;;;;;https://www.metacritic.com/game/wii-u/vrog
Sky Force Anniversary;Wii U;Infinite Dreams Inc.;Mar 16, 2017;;;;;;tbd;1;0;1;0;Infinite Dreams Inc.;;;;;;;https://www.metacritic.com/game/wii-u/sky-force-anniversary
Sudoku Party;Wii U;Lightwood Games;Mar 16, 2017;;;;;;tbd;;;;;Lightwood Games;;;;;;;https://www.metacritic.com/game/wii-u/sudoku-party
ACE: Alien Cleanup Elite;Wii U;Nitrolic Games;Mar 16, 2017;;;;;;tbd;;;;;Matthew Flewelling;;;;;;;https://www.metacritic.com/game/wii-u/ace-alien-cleanup-elite
Mahjong Deluxe 3;Wii U;EnsenaSoft;Mar 16, 2017;;;;;;tbd;;;;;EnsenaSoft;;;;;;;https://www.metacritic.com/game/wii-u/mahjong-deluxe-3
Blue-Collar Astronaut;Wii U;Mutated Software;Mar 14, 2017;;;;;;tbd;;;;;Mutated Software;;;;;;;https://www.metacritic.com/game/wii-u/blue-collar-astronaut
Candy Hoarder;Wii U;Nitrolic Games;Mar  9, 2017;;;;;;tbd;;;;;Nitrolic Games;;;;;;;https://www.metacritic.com/game/wii-u/candy-hoarder
The Legend of Zelda: Breath of the Wild;Wii U;Nintendo;Mar  3, 2017;96;13;13;0;0;8.2;454;379;45;30;Nintendo;Fantasy, Fantasy, Action Adventure, Open-World;No Online Multiplayer;E10+;Hidemaro Fujibayashi;Akihito Toda;Manaka Kataoka, Yasuaki Iwata;https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild
Ghost Blade HD;Wii U;HUCAST;Feb 28, 2017;;;;;;tbd;0;0;0;0;HUCAST;;;;;;;https://www.metacritic.com/game/wii-u/ghost-blade-hd
Forma.8;Wii U;MixedBag Srl;Feb 23, 2017;;;;;;tbd;;;;;MixedBag Srl;;;;;;;https://www.metacritic.com/game/wii-u/forma8
Maze Break;Wii U;nuGAME;Feb 23, 2017;;;;;;tbd;;;;;nuGAME;;;;;;;https://www.metacritic.com/game/wii-u/maze-break
