title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone;PlayStation 3;Telltale Games;2010-04-15;81.0;21;15;6;0;71.02;5;2;1;2;Telltale Games;3D, General, Miscellaneous, Adventure, Compilation, Third-Person;No Online Multiplayer;E10+;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone;PC;Telltale Games;2010-04-15;81.0;30;24;6;0;78.01;3;2;1;0;Telltale Games;3D, General, Miscellaneous, Adventure, Compilation, Third-Person;No Online Multiplayer;E10+;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak;PlayStation 3;Telltale Games;2010-05-18;85.0;12;11;1;0;78.01;0;0;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak;PC;Telltale Games;2010-05-18;83.0;24;21;3;0;75.0;2;2;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!;PlayStation 3;Telltale Games;2010-06-22;73.0;6;5;1;0;76.99;0;0;0;0;Telltale Games;;;;;;;50-74;0;0
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!;PC;Telltale Games;2010-06-22;75.0;23;16;6;1;75.0;2;2;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls;PC;Telltale Games;2010-07-20;76.0;19;12;7;0;76.99;2;2;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep;PlayStation 3;Telltale Games;2010-08-30;80.0;6;4;2;0;81.02;1;1;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep;PC;Telltale Games;2010-08-30;81.0;21;16;4;1;76.02;3;3;0;0;Telltale Games;;;;;;;75-89;0;0
Samba de Amigo;Dreamcast;Sega;2000-10-16;89.0;20;20;0;0;85.0;3;3;0;0;Sonic Team;;;;Shun Nakamura;;;75-89;0;0
Samba de Amigo;Wii;Sega;2008-09-23;68.0;43;13;28;2;82.03;13;11;1;1;Gearbox Software;Action, Rhythm, Music, Miscellaneous;1-4;E;;;;50-74;0;0
Samorost 3;PC;Amanita Design;2016-03-24;80.0;29;23;6;0;78.01;16;12;2;2;Amanita Design;;;;;;;75-89;0;1
Samsara;Xbox One;Marker Limited;2018-02-07;63.0;4;0;4;0;0.0;1;1;0;0;Marker Limited;;No Online Multiplayer;;;;;50-74;0;0
Samurai Aces for Nintendo Switch;Switch;Zerodiv;2018-02-15;71.0;4;1;3;0;0.0;0;0;0;0;Zerodiv;Compilation, Miscellaneous;No Online Multiplayer;E;;;;50-74;0;1
Samurai Champloo: Sidetracked;PlayStation 2;Bandai Namco Games;2006-04-11;66.0;26;8;14;4;71.99;2;1;1;0;Grasshopper Manufacture;Beat-'Em-Up, Action;1-4;T;;;;50-74;0;1
Samurai Defender: Ninja Warfare;Switch;Flyhigh Works;2018-06-07;63.0;4;0;4;0;0.0;0;0;0;0;Link Kit Co. Ltd.;Real-Time, Strategy, Defense;No Online Multiplayer;E;;;;50-74;0;1
Samurai G;3DS;UFO Interactive;2012-10-04;36.0;6;0;2;4;0.0;1;0;0;1;UFO Interactive;Action, General;No Online Multiplayer;T;;;;50-;1;1
Samurai Gunn;PC;Maxistentialism;2013-12-10;78.0;11;9;2;0;75.0;8;6;1;1;Beau Blyth;;No Online Multiplayer;;;;;75-89;0;1
Samurai Jack: The Amulet of Time;GBA;Bam Entertainment;2003-03-30;63.0;13;6;6;1;61.99;1;1;0;0;Virtucraft;Action, Platformer, 2D;No Online Multiplayer;T;;;;50-74;1;1
Samurai Jack: The Shadow of Aku;Gamecube;Sega;2004-03-24;59.0;17;4;12;1;61.99;3;1;1;1;Adrenium;Action, General;No Online Multiplayer;T;Dominick Meissner;;;50-74;0;0
