title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Trigger Man;;Crave;Oct  5, 2004;;;;;;tbd;1;0;0;1;Point of View;Action, Shooter, Third-Person, Modern;1 Player;T;;;;https://www.metacritic.com/game/gamecube/trigger-man
Tony Hawk's Underground 2;;Activision;Oct  4, 2004;82;30;26;4;0;8.4;2;2;0;0;Neversoft Entertainment;Sports, Alternative, Skateboarding;1-2;T;;;;https://www.metacritic.com/game/gamecube/tony-hawks-underground-2
NBA Live 2005;;EA Sports;Sep 28, 2004;83;17;16;1;0;7.1;5;5;0;0;EA Canada;Sports, Traditional, Basketball, Sim;1-4;E;;;;https://www.metacritic.com/game/gamecube/nba-live-2005
Donkey Konga;;Nintendo;Sep 27, 2004;76;55;35;20;0;8.1;12;11;0;1;Namco;Miscellaneous, Rhythm, Music;1-4;E;Satoru Iwata;;;https://www.metacritic.com/game/gamecube/donkey-konga
Shark Tale;;Activision;Sep 27, 2004;69;23;8;15;0;4.5;2;1;0;1;Edge of Reality;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/shark-tale
X-Men Legends;;Activision;Sep 21, 2004;81;36;31;4;1;8.5;8;8;0;0;Raven Software;Role-Playing, Action RPG;1-4;T;;;;https://www.metacritic.com/game/gamecube/x-men-legends
Mega Man X: Command Mission;;Capcom;Sep 21, 2004;67;21;6;13;2;7.5;2;2;0;0;Capcom;Role-Playing, Console-style RPG;1 Player;E;;;;https://www.metacritic.com/game/gamecube/mega-man-x-command-mission
Second Sight;;Codemasters;Sep 21, 2004;77;34;24;10;0;8.4;7;5;2;0;Free Radical Design;Action Adventure, Sci-Fi;1 Player;T;;;;https://www.metacritic.com/game/gamecube/second-sight
Tiger Woods PGA Tour 2005;;EA Sports;Sep 20, 2004;88;18;18;0;0;tbd;0;0;0;0;EA Sports;Sports, Traditional, Golf, Sim;1-4;E;;;;https://www.metacritic.com/game/gamecube/tiger-woods-pga-tour-2005
NHL 2005;;EA Sports;Sep 20, 2004;75;18;10;8;0;5.6;4;2;1;1;EA Sports;Sports, Traditional, Ice Hockey, Sim;1-4;E;;;;https://www.metacritic.com/game/gamecube/nhl-2005
